"HolderAddress","Balance","PendingBalanceUpdate"
"0xfc3fab9dfdc0bb1dc4ee9398dcfc222819f19a36","11,916.841051870014953358","No"
"0x02b927f12a26553b8150aa4dad457ccdbd9fbdfa","11,577.511265236269344456","No"
"0xc17af0bcc7af4b2d3514b0a19ee64a355c52aa81","11,400","No"
"0x646be5bc7730c584d0bcdff7e3444f3a3108e6bf","11,000","No"
"0x86a08280ddd14f73767e0b79e2e10bc2b6b88d88","11,000","No"
"0x380a230fd84ecc332bef76ae09cd214662450d2b","11,000","No"
"0x0f357ae30f31761ca4be51eb1cb77125cbdbf97a","11,000","No"
"0x573687ef6654de17a818a7b93debc0a32fd64607","11,000","No"
"0x5b179c34af6a2b06e9d6094115d14b53e485bf3a","11,000","No"
"0x4d3f3fe2add7cc510a5f44c1ba614c299fca5ddc","11,000","No"
"0x8be719dc3abd26ba4f1172b646a115ff0a9ff5d3","11,000","No"
"0x2c084b898ae283cbf80b4ec7138255a381313134","11,000","No"
"0x23babdced64f4bce7a6cdc86ca93bb8ba331b8e2","11,000","No"
"0x257b73828c8827aaea322837b37a521090666666","11,000","No"
"0x986ea590e58065f5eea2cf3fcdc2f7c54c26a66a","11,000","No"
"0xb9d7aa57aeb07fe04636044a82440c86a1a4e969","11,000","No"
"0x204ba0606fc7dcb86579912a5a3c5e564c851b9d","11,000","No"
"0x97b62601b6a959bc7dc81c6c80148ca8fe659bb8","11,000","No"
"0x85421955425f84f609ac9e789f8dc71789d71b56","11,000","No"
"0x41eba9277dbd961828cf66bce4b5a7f6e0c874ba","11,000","No"
"0x364fc38f8a7ee45fd8a655f6696d048047dec908","11,000","No"
"0x3f63c98b0d5ea0e7b2c3a92971546a2922743ae1","11,000","No"
"0xf891e98b773b9b45e51d31f1f318bc97d8e47f07","10,368.561171542387993648","No"
"0x27d6c600a80e4ee56116da21cfc4619cee4b8507","10,000.8","No"
"0xd56833744397e59e1738665341a2943c44c6773d","10,000.634447562057082006","No"
"0x3c45cad348ecd3dd8e3fbadf9f0881bd00f44a36","10,000","No"
"0x26384c7b4620cc5595b3d25bd334b71d6cc313ff","10,000","No"
"0x14a9a26c76be2b7bd462579f7f23fe2129ed854c","10,000","No"
"0x83dedff0760460db0c5d578a20823c24b406fe01","10,000","No"
"0x9ee0aa2d244295e3caeedb45cc4b1d013288f191","10,000","No"
"0x9239703e0c4f3af68857e65a9fe73dffc0cd30aa","10,000","No"
"0x8867ce5ca5b91aa1fe5f5b64b1e287c0e49a8e5f","10,000","No"
"0x9e68d8fb7164528589f0c4f8394b24fd0b62df5b","10,000","No"
"0x1cc2f60bdd9dcf8186825f3c2852b94a8618f55a","10,000","No"
"0x83f9c3e344385aa0ed9a23ec06302e2f583b7291","10,000","No"
"0x14a2361bddf85d2c8f6676c30014d19616c24c8d","10,000","No"
